,이름,주소
31,부천북부역점,경기 부천시 부천로 25 1층(지번) 심곡동 177-16
32,인하대역점,인천 미추홀구 독배로 309 1층(지번) 용현동 665-15
33,김포현대아울렛점,경기 김포시 고촌읍 아라육로152번길 100 3층(지번) 고촌읍 전호리 654
34,인천구월아시아드SK점,인천 남동구 구월동 1506
35,고양행신점,경기 고양시 덕양구 충장로 3(지번) 행신동 707-4
36,가양역점,서울 강서구 양천로 476(지번) 등촌동 73-1
37,송정역점,서울 강서구 공항대로 32(지번) 공항동 42-4
38,고양삼송점,경기 고양시 덕양구 권율대로 907(지번) 신원동 618-2
39,신정네거리역점,서울 양천구 중앙로 275 한경빌딩 1층(지번) 신정동 1190-4
40,상암MBC점,서울 마포구 성암로 255 1층(지번) 상암동 1604
41,인천만수역점,인천 남동구 구월로 376 정은프라자 1층(지번) 만수동 956
42,염창역점,서울 양천구 공항대로 630 어바니엘염창 1층(지번) 목동 514-5
43,상암점,서울 마포구 월드컵북로 344(지번) 상암동 38-1
44,목동역점,서울 양천구 오목로 238(지번) 신정동 994-2
45,개봉점,서울 구로구 개봉로 55(지번) 개봉동 403-56
46,연신내역점,서울 은평구 통일로 834 1층(지번) 불광동 305-3
47,등촌역점,서울 강서구 공항대로 549 1층(지번) 염창동 272-9
48,가양이마트점,서울 강서구 양천로 559 3층(지번) 가양동 449-19
49,인천연수점,인천 연수구 용담로 111(지번) 연수동 596-6
50,가재울뉴타운점,서울 서대문구 수색로 56 성공타워 1층(지번) 북가좌동 487
51,박석고개SK점,서울 은평구 통일로 945(지번) 갈현동 1-6
52,서교동사거리점,서울 마포구 양화로 100(지번) 서교동 372-1
53,부천옥길점,경기 부천시 옥길로 118 퀸즈파크옥길 B동(지번) 옥길동 745-3
54,스타필드고양점,경기 고양시 덕양구 고양대로 1955 4층(지번) 동산동 370
55,불광점,서울 은평구 통일로 750(지번) 불광동 267-1
56,마포구청역점,서울 마포구 월드컵로 155(지번) 망원동 474-3
57,당산역점,서울 영등포구 양평로 58 그랜드컨벤션센터 1층(지번) 당산동6가 337-23
58,녹번대성GS점,서울 은평구 통일로 642(지번) 녹번동 19-38
59,고양덕양FS점,경기 고양시 덕양구 호국로 1821(지번) 고양동 620
60,양평점,서울 영등포구 선유로 130(지번) 양평동3가 5-4
61,고양행신역점,경기 고양시 덕양구 충장로 3(지번) 행신동 707-4
62,목동이마트점,서울 양천구 오목로 299 트라팰리스 이마트 지하2층(지번) 목동 962
63,인천송도센트럴파크점,인천 연수구 센트럴로 194 B동 1층(지번) 송도동 23-4
64,영등포KT점,서울 영등포구 영중로 119(지번) 영등포동8가 35-1
65,구로구청점,서울 구로구 가마산로 250 1층(지번) 구로동 83-4
66,인천서창SK점,인천 남동구 서창방산로 112(지번) 서창동 728
67,인천송도DT점,인천 연수구 송도과학로 13(지번) 송도동 158-4
68,서여의도점,서울 영등포구 국회대로70길 23(지번) 여의도동 14-14
69,신촌1점,서울 서대문구 신촌로 121 1층(지번) 창천동 20-41
70,가산디지털점,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동(지번) 가산동 371-28
71,시흥은계점,경기 시흥시 은계번영길 9 1층(지번) 은행동 646-4
72,연희점,서울 서대문구 연희로 97(지번) 연희동 188-2
73,인천연수HP점,인천 연수구 청능대로 210 홈플러스 연수점 지하1층(지번) 동춘동 926
74,구로점,서울 구로구 시흥대로 551(지번) 구로동 1126-6
75,연세로점,서울 서대문구 연세로 25(지번) 창천동 33-38
76,신길점,서울 영등포구 도신로 237(지번) 신길동 110-4
77,공덕역점,서울 마포구 마포대로 144 태영빌딩 1층(지번) 공덕동 252-5
78,구로디지털점,서울 구로구 디지털로 288 대륭포스트타워 1층(지번) 구로동 212-8
79,홍제역점,서울 서대문구 통일로 464 1층(지번) 홍제동 301-2
80,인천논현점,인천 남동구 논고개로 61 라피에스타 101~104호(지번) 논현동 747-1
81,가산이앤씨7점,서울 금천구 디지털로9길 46 이앤씨드림타워7차 101호(지번) 가산동 60-44
82,인천공항교통센터1점,인천 중구 공항로 271(지번) 운서동 2851
83,목동현대점,서울 양천구 목동동로 257 현대백화점유플렉스 지하2층(지번) 목동 916
84,신대방삼거리역점,서울 동작구 상도로 83(지번) 대방동 335-16
85,종로구청점,서울 종로구 삼봉로 57(지번) 수송동 68-1
86,종로점,서울 종로구 종로 94(지번) 종로2가 56-23
87,시청역점,서울 중구 서소문로 136(지번) 태평로2가 330-2
88,광명소하DT점,경기 광명시 오리로 361(지번) 소하동 1077-4
89,노량진점,서울 동작구 노량진로 169 1층(지번) 노량진동 151-11
90,신림역점,서울 관악구 신림로 318 청암두산위브센티움 1층 101호(지번) 신림동 1641-17
91,배곧아브뉴프랑점,경기 시흥시 서울대학로264번길 35(지번) 정왕동 1771-31
92,서대문역점,서울 중구 통일로 86 1층(지번) 의주로1가 203
93,용산이마트점,서울 용산구 한강대로23길 55 지하2층(지번) 한강로3가 40-999
94,숭례문점,서울 중구 세종대로 23 창화빌딩 1층(지번) 남대문로5가 1-1
95,회현역점,서울 중구 퇴계로 52 티마크그랜드호텔명동 1층(지번) 회현동1가 194-15
96,서울대입구역점,서울 관악구 남부순환로 1796 삼호빌딩 1층(지번) 봉천동 875-8
97,혜화역점,서울 종로구 동숭길 148(지번) 혜화동 179-4
98,충무로역점,서울 중구 퇴계로 216(지번) 충무로4가 125-11
99,신림미림여고입구점,서울 관악구 신림로 141(지번) 신림동 1513-1
100,국제점,서울 용산구 한강대로 92 LS용산타워 지하1층 LS에비뉴내(지번) 한강로2가 191
101,송도현대아울렛점,인천 연수구 송도국제대로 123 지하 1층(지번) 송도동 168-1
102,시흥정왕점,경기 시흥시 중심상가로 201-11(지번) 정왕동 1738-2
103,약수역점,서울 중구 다산로 142 1층(지번) 신당동 370-64
104,사당역점,서울 동작구 동작대로 21 양지빌딩 1층(지번) 사당동 1031-27
105,수유역점,서울 강북구 도봉로 314 삼성화재 수유사옥 1층(지번) 번동 446-8
106,낙성대점,서울 관악구 남부순환로 1934 1층(지번) 봉천동 1658-2
107,쌍문SK점,서울 도봉구 도봉로 437 SK주유소(지번) 쌍문동 103-7
108,미아역점,서울 강북구 도봉로 188 삼성빌딩 1층(지번) 미아동 121-22
109,신당역점,서울 중구 다산로 258(지번) 흥인동 86
110,왕십리센트라스점,서울 성동구 왕십리로 410(지번) 홍익동 614-1
111,성신여대입구역점,서울 성북구 동소문로 120(지번) 동선동1가 118-1
112,쌍문점,서울 도봉구 도당로 6(지번) 쌍문동 20-4
113,시흥목감SK점,경기 시흥시 동서로 996(지번) 조남동 690
114,종암점,서울 성북구 종암로 123 우영타워 1층(지번) 종암동 3-1343
115,서울역점,서울 용산구 한강대로 405 신역사내 3층(지번) 동자동 43-205
116,반포고속터미널점,서울 서초구 신반포로 194(지번) 반포동 19-4
117,노원역점,서울 노원구 노해로 456 동방빌딩 1층(지번) 상계동 734-5
118,신설동역점,서울 동대문구 보문로 6(지번) 신설동 131-50
119,장안SK점,서울 동대문구 한천로 100(지번) 장안동 164-2
120,신논현역점,서울 강남구 봉은사로 105 2층(지번) 논현동 200-6
121,방배카페골목점,서울 서초구 방배중앙로 200 퍼스트빌딩 1층(지번) 방배동 755-4
122,강남대로점,서울 강남구 강남대로 406 1층(지번) 역삼동 820-10
123,안암오거리점,서울 성북구 안암로 73(지번) 안암동5가 104-291
124,방배점,서울 서초구 방배로 127(지번) 방배동 925-3
125,의정부DT점,"경기 의정부시 호국로1336번길 1 1,2층(지번) 의정부동 15-4"
126,교대역점,서울 서초구 서초대로 283 남촌빌딩 1층(지번) 서초동 1715-10
127,청담점,서울 강남구 선릉로 812(지번) 청담동 85-5
128,평촌금성GS점,경기 안양시 동안구 시민대로 325(지번) 관양동 1746-4
129,창동역점,서울 도봉구 노해로 389 1층(지번) 창동 16
130,공릉역점,서울 노원구 동일로 1085(지번) 공릉동 379-20
131,차병원사거리점,서울 강남구 봉은사로 179 H-Tower 지하1층(지번) 논현동 192-19
132,선릉역점,서울 강남구 선릉로 429 KR타워(지번) 역삼동 708-36
133,안양관양점,경기 안양시 동안구 관악대로 312(지번) 관양동 1443-2
134,강남NC점,서울 서초구 잠원로 69 킴스클럽 1층(지번) 잠원동 70-1
135,양재점,서울 서초구 강남대로 221(지번) 양재동 23
136,석관점,서울 성북구 돌곶이로 50 상희빌딩 1~2층(지번) 석관동 301-1
137,군자능동점,서울 광진구 능동로 245 1층(지번) 군자동 235
138,황학이마트점,서울 중구 청계천로 400 이마트 청계천점 1층(지번) 황학동 2545
139,동국대점,서울 중구 필동로1길 30 상록원 1층(지번) 장충동2가 192-5
140,산본점,경기 군포시 산본로 382 1층 101호(지번) 산본동 1097
141,건대입구역점,서울 광진구 아차산로 229 1층(지번) 화양동 7-3
142,먹골역점,서울 중랑구 동일로 890(지번) 묵동 180-55
143,고대중앙광장점,서울 성북구 안암로 145 지하1층 124호(지번) 안암동5가 1-2
144,경희대점,서울 동대문구 경희대로 1-1 1층(지번) 회기동 16-64
145,강남도곡점,서울 강남구 논현로 172 1층(지번) 도곡동 410-10
146,의정부서부역점,경기 의정부시 신흥로 252(지번) 의정부동 441-12
147,안산중앙역점,경기 안산시 단원구 중앙대로 927 남양빌딩 1층(지번) 고잔동 541-2
148,안산고잔점,경기 안산시 단원구 광덕대로 154(지번) 고잔동 771-3
149,평촌학원가점,경기 안양시 동안구 평촌대로 112 정진빌딩 1층(지번) 평촌동 922-8
150,구의점,서울 광진구 아차산로 466 1층(지번) 구의동 213-1
151,대치점,서울 강남구 도곡로 447(지번) 대치동 941-24
152,삼성중앙역점,서울 강남구 봉은사로 502(지번) 삼성동 145-1
153,남양주별내오일뱅크점,경기 남양주시 송산로 149(지번) 별내동 969
154,망우점,서울 중랑구 망우로 400(지번) 망우동 490-8
155,하남미사점,경기 하남시 미사강변대로 48 1층(지번) 풍산동 522-1
156,송파구청점,서울 송파구 오금로 99 진넥스빌딩 1층(지번) 방이동 65-2
157,구리SK점,경기 구리시 경춘로 196(지번) 수택동 370-3
158,종합운동장사거리점,서울 송파구 올림픽로 76(지번) 잠실동 175-6
159,석촌점,서울 송파구 송파대로 448(지번) 송파동 15-8
160,건대역점,서울 광진구 아차산로 272 롯데백화점 스타시티몰 1층(지번) 자양동 227-7
161,상록수역점,경기 안산시 상록구 용신로 394 서해프라자(지번) 본오동 873-5
162,수서점,서울 강남구 광평로 280(지번) 수서동 724
163,의정부용현DT점,경기 의정부시 시민로 462(지번) 용현동 193-1
164,화랑대역점,서울 노원구 노원로 3(지번) 공릉동 90-4
165,명일DT점,서울 강동구 고덕로 168(지번) 명일동 305-51
166,면목역점,서울 중랑구 겸재로 180 1층(지번) 면목동 1216
167,위례신도시GS점,서울 송파구 위례중앙로 43 GS주유소 내(지번) 장지동 934-6
168,문정역점,서울 송파구 법원로8길 13 1층(지번) 문정동 651-6
169,길동사거리점,서울 강동구 양재대로 1440 남서울빌딩 1층(지번) 길동 429
170,양주고읍DT점,경기 양주시 고덕로 363(지번) 고읍동 64
171,천호역점,서울 강동구 천호대로 1012 태승빌딩 1층(지번) 성내동 62-4
172,의정부신세계점,경기 의정부시 의정부동 168-54 2층
173,대치역점,서울 강남구 남부순환로 2936 원플러스상가 1~2층(지번) 대치동 507
174,몽촌토성점,서울 송파구 백제고분로51길 30(지번) 방이동 44-1
175,수원호매실SK점,경기 수원시 권선구 서수원로 453(지번) 호매실동 1374-1
176,의정부민락점,경기 의정부시 천보로 68(지번) 민락동 805
177,문정점,서울 송파구 송이로 239(지번) 문정동 116-5
178,동두천DT점,경기 동두천시 평화로2261번길 2(지번) 지행동 736-7
179,과천중앙점,경기 과천시 중앙로 129 고려빌딩 1층(지번) 중앙동 40-10
180,판교유스페이스점,"경기 성남시 분당구 대왕판교로 660 1층 111,112호(지번) 삼평동 670"
181,구리갈매점,경기 구리시 산마루로 24(지번) 갈매동 608-2
182,분당서현점,경기 성남시 분당구 분당로53번길 19(지번) 서현동 269-2
183,수원정자점,경기 수원시 장안구 이목로 24-3 스카이프라자 1층(지번) 정자동 600-28
184,양주덕정FS점,경기 양주시 독바위로 22(지번) 덕정동 285-1
185,남양주다산지금점,경기 남양주시 다산지금로 132(지번) 다산동 6217-2
186,둔촌GS FS점,서울 강동구 양재대로 1323(지번) 성내동 439-16
187,남양주진접FS점,경기 남양주시 진접읍 해밀예당1로 11(지번) 진접읍 연평리 114-1
188,하계점,서울 노원구 노원로 236(지번) 하계동 256-8
189,강동구청점,서울 강동구 성내로 22(지번) 성내동 552
190,신월점 앞 대여소,서울 양천구 신월동 258
191,송죽DT점,경기 수원시 장안구 경수대로 992 2층(지번) 송죽동 200-5
192,의정부HP점,경기 의정부시 청사로 38(지번) 금오동 475-1
193,거여역점,서울 송파구 오금로 519(지번) 거여동 36-4
194,수원시청점,경기 수원시 팔달구 권광로 163 보성빌딩 1층(지번) 인계동 1046-18
195,분당야탑점,경기 성남시 분당구 성남대로916번길 11 글라스타워 1층(지번) 야탑동 366-4
196,죽전DT점,경기 용인시 수지구 용구대로 2751(지번) 죽전동 889
197,분당상록점,경기 성남시 분당구 정자로 88(지번) 정자동 126-4
198,분당수내점,경기 성남시 분당구 내정로 167(지번) 수내동 28-2
199,성남신흥점,경기 성남시 수정구 산성대로 305(지번) 신흥동 2478
200,광교아브뉴프랑점,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 1층(지번) 이의동 1332
201,수원인계DT점,경기 수원시 팔달구 경수대로 501(지번) 인계동 963-10
202,화성시청점,경기 화성시 남양읍 시청로 113(지번) 남양읍 남양리 2072-7
203,포천축석휴게소FS점,경기 포천시 소흘읍 호국로 66(지번) 소흘읍 이동교리 562-2
204,수지GS점,경기 용인시 수지구 신수로 781(지번) 동천동 236
205,송산그린시티점,경기 화성시 수노을2로 7(지번) 새솔동 76-2
206,분당차병원점,경기 성남시 분당구 야탑로 64 에이스코아 1층(지번) 야탑동 502
207,수지구청역점,경기 용인시 수지구 풍덕천로 145(지번) 풍덕천동 714-5
208,수원역사점,경기 수원시 팔달구 덕영대로 924 3층(지번) 매산로1가 18
209,화성봉담점,경기 화성시 봉담읍 와우로 80(지번) 봉담읍 와우리 34-6
210,남양주화도DT점,경기 남양주시 화도읍 경춘로 1718(지번) 화도읍 묵현리 372-25
211,성남이마트점,경기 성남시 수정구 수정로 201 2층(지번) 태평동 7336
212,하남이마트점,경기 하남시 덕풍서로 70 1층(지번) 덕풍동 736
213,용인신갈점,경기 용인시 기흥구 중부대로 375 1층(지번) 신갈동 63
214,수원망포점,경기 수원시 영통구 영통로 108(지번) 망포동 535-18
215,수원영통점,경기 수원시 영통구 봉영로 1623 드림피아빌딩 1층(지번) 영통동 958-1
216,화성능동FS점,경기 화성시 동탄지성로 190(지번) 능동 460-2
217,화성병점점,경기 화성시 효행로 1032(지번) 진안동 877-2
218,수원매탄점,경기 수원시 영통구 효원로 400 탑플라자 1층(지번) 매탄동 1276
219,서수원이마트점,경기 수원시 권선구 수인로 291(지번) 구운동 925
220,아주대삼거리점,경기 수원시 영통구 중부대로 267(지번) 원천동 79-6
221,경기광주태전점,경기 광주시 태봉로 145-2(지번) 태전동 30-6
222,동탄점,경기 화성시 동탄반석로 156 하이페리온 1층(지번) 반송동 93-9
223,광주경안점,경기 광주시 경안로 10 1층(지번) 경안동 23
224,용인동백점,경기 용인시 기흥구 동백5로 23 명진프라자 1층(지번) 중동 831-3
225,동탄2신도시SK점,경기 화성시 동탄순환대로 731(지번) 영천동 679-1
226,오산세교에스오일점,경기 오산시 경기대로 692(지번) 내삼미동 573-1
227,아주대병원점,경기 수원시 영통구 월드컵로 164 지하1층(지번) 원천동 산 26-6
228,버거킹주차장,서울 강남구 청담동 85-5
229,오산궐동점,경기 오산시 궐리사로 61 1층(지번) 궐동 631-1
230,수송동점 개방화장실,서울 종로구 삼봉로 57(지번) 수송동 68-1
231,오산원동FS점,경기 오산시 경기대로 238(지번) 원동 766-6
232,동탄호수공원레이크꼬모점,경기 화성시 송동 694 1층
233,평택청북점,경기 평택시 청북읍 청북남로 260 1층(지번) 청북읍 옥길리 1157-3
234,대치동 버거킹대치점 대여소,서울 강남구 도곡로 447(지번) 대치동 941-25
235,평택서정점,경기 평택시 경기대로 1371(지번) 서정동 814-1
236,평택고덕신도시GS점,경기 평택시 고덕면 여염리 4311-1
237,망우로 앞 대여소,서울 중랑구 망우로 400(지번) 망우동 490-8
238,동탄목동점 (2021년12월예정),경기 화성시 동탄신리천로 406 리더스퀘어 1층(지번) 목동 246-3
239,경기양평점,경기 양평군 양평읍 양평시장길18번길 1(지번) 양평읍 양근리 409-7
240,평택죽백DT점,경기 평택시 만세로 1709(지번) 죽백동 482-3
241,평택비전점,경기 평택시 비전2로 195(지번) 비전동 1066
242,이천CGV점,경기 이천시 중리천로 58 1층(지번) 중리동 201-2
243,안성공도DT점,경기 안성시 공도읍 서동대로 4294(지번) 공도읍 만정리 295-3
244,당진읍내점,충남 당진시 당진중앙1로 95(지번) 읍내동 513-2
245,평택로데오점,경기 평택시 평택로32번길 34(지번) 평택동 293-2
246,천안불당점,충남 천안시 서북구 불당25로 176 1층(지번) 불당동 1534
247,춘천거두GS점,강원 춘천시 동내면 춘천순환로 59(지번) 동내면 거두리 910
248,춘천온의점,강원 춘천시 방송길 98-1(지번) 온의동 588-9
249,천안쌍용대로DT점,"충남 천안시 동남구 쌍용대로 94 1,2층(지번) 봉명동 212-1"
250,천안두정점,충남 천안시 서북구 두정로 156(지번) 두정동 902
251,서산호수공원점,충남 서산시 호수공원6로 72(지번) 예천동 1281-2
252,천안원성DT점,충남 천안시 동남구 충절로 170(지번) 원성동 115-1
253,천안성성점,충남 천안시 서북구 성성8로 2-11 리치안타워 101호~104호(지번) 성성동 731
254,원주무실점,강원 원주시 능라동길 61 1층(지번) 무실동 1857-6
255,충북진천점,충북 진천군 진천읍 상산로 73(지번) 진천읍 읍내리 400
256,원주명륜오일뱅크점,강원 원주시 명륜동 822-1
257,충남도청점,충남 홍성군 홍북읍 청사로174번길 2(지번) 홍북읍 신경리 555
258,원주기업도시점,강원 원주시 지정면 신지정로 211 1층 109~112호(지번) 지정면 가곡리 1350-1
259,충북혁신도시점,충북 음성군 맹동면 대하2가길 11 1층(지번) 맹동면 두성리 1397
260,대명비발디점,강원 홍천군 서면 한치골길 264(지번) 서면 팔봉리 1289
261,오창호수공원점,충북 청주시 청원구 오창읍 중심상업로 31-18(지번) 오창읍 양청리 788-1
262,청주오송점,충북 청주시 흥덕구 오송읍 오송생명로 178 베스트벨류세종호텔 1층(지번) 오송읍 연제리 713
263,청주율량점,충북 청주시 청원구 충청대로 176(지번) 주성동 342
264,세종조치원DT점,세종특별자치시 조치원읍 세종로 2425(지번) 조치원읍 침산리 45-6
265,충북대점,"충북 청주시 서원구 1순환로 665-1 1,2층(지번) 사창동 257-14"
266,청주복대점,충북 청주시 흥덕구 대농로 47(지번) 복대동 288-15
267,청주산남점,충북 청주시 서원구 산남로 48 1층(지번) 산남동 650
268,충남대병원DT점,세종특별자치시 보듬5로 6(지번) 도담동 631
269,세종행복새롬점,세종특별자치시 어울로 77(지번) 새롬동 341-18
270,충주연수점,충북 충주시 연수동산로 47(지번) 연수동 1354
271,청주터미널점,충북 청주시 흥덕구 풍산로 15 대우메가폴리스(지번) 가경동 1416-2
272,세종고운점,세종특별자치시 보듬3로 154(지번) 아름동 1316
273,오션월드점,강원 홍천군 서면 한치골길 264(지번) 서면 팔봉리 1279-3
274,세종반곡점,세종특별자치시 한누리대로 1948 더스테이빌딩 1층(지번) 반곡동 771-68
275,보령동대점,충남 보령시 한내로 16(지번) 동대동 1732
276,청주예술의전당오일뱅크점,충북 청주시 흥덕구 직지대로 677(지번) 봉명동 753
277,대전반석DT점,대전 유성구 하기동 511-1
278,대전관평점,대전 유성구 테크노4로 105 1층(지번) 관평동 938
279,대전유성온천역점,대전 유성구 대학로 8 1층(지번) 봉명동 551-14
280,대전둔산1점,대전 서구 대덕대로 193 101호(지번) 둔산동 1044
281,대전월평점,대전 서구 월평북로 81(지번) 월평동 235
282,대전시청점,대전 서구 문예로 35 1층(지번) 둔산동 1497
283,대전터미널DT점,대전 동구 동서대로 1664(지번) 성남동 502-7
284,대전노은역점,대전 유성구 은구비남로33번길 61(지번) 지족동 902-6
285,대전용두DT점,대전 중구 계룡로 853(지번) 용두동 29-5
286,대전관저점,대전 서구 구봉로147번길 68-12(지번) 관저동 1341
287,대전버드내마을오일뱅크점,대전 중구 계백로 1520(지번) 유천동 338-1
288,대전용문역점,대전 서구 계룡로 630(지번) 용문동 589-12
289,대전도안점,대전 서구 동서대로 682 팔복빌딩 1층(지번) 도안동 849
290,대전현대아울렛점,대전 유성구 테크노중앙로 123 3층 3202-2호(지번) 용산동 579
291,대전대동DT점,대전 동구 계족로 120(지번) 대동 200-14
292,속초DT점,강원 속초시 동해대로 4059(지번) 조양동 1521-3
293,군산조촌DT점,전북 군산시 번영로 143(지번) 조촌동 893-25
294,강릉교동SK점,강원 강릉시 하슬라로 159(지번) 교동 1893
295,군산수송점,전북 군산시 월명로 262 1층(지번) 수송동 827-13
296,원광대점,전북 익산시 무왕로 893 원광문화센터 1층(지번) 신동 272
297,익산영등점,전북 익산시 무왕로 1068(지번) 영등동 770-6
298,전주서신대광SK점,전북 전주시 완산구 서신로 56(지번) 서신동 813
299,전주송천DT점,전북 전주시 덕진구 동부대로 1030(지번) 송천동2가 54-89
300,전주만성SK점,전북 전주시 덕진구 온고을로 441(지번) 만성동 1344-1
301,전주중앙점,전북 전주시 완산구 팔달로 225(지번) 고사동 2-6
302,경북상주점,경북 상주시 중앙로 186-2 1층(지번) 남성동 13-64
303,전북도청점,전북 전주시 완산구 효자로 194(지번) 효자동3가 1525-1
304,전북대점,전북 전주시 덕진구 권삼득로 295(지번) 금암동 664-23
305,경북도청점,경북 안동시 풍천면 검무로 4-8(지번) 풍천면 갈전리 1276
306,전주인후DT점,전북 전주시 덕진구 안덕원로 307(지번) 인후동1가 503
307,경북영주가흥점,경북 영주시 대동로 24(지번) 가흥동 1809
308,김천교동DT점,경북 김천시 대학로 75(지번) 교동 740-1
309,안동중앙점,경북 안동시 문화광장길 40-6(지번) 남부동 100-5
310,구미시청FS점,경북 구미시 송정대로 40(지번) 송정동 460
311,안동옥동점,경북 안동시 경북대로 381(지번) 옥동 787-9
312,구미도량DT점,경북 구미시 야은로 318(지번) 도량동 311-2
313,김천혁신도시점,경북 김천시 혁신3로 17(지번) 율곡동 782
314,대구산격DT점,대구 북구 검단로 29(지번) 산격동 489-19
315,구미인의점,경북 구미시 인동중앙로 16(지번) 인의동 369-3
316,대구중앙로점,대구 중구 중앙대로 398 현대캐피탈 사옥 1층(지번) 남일동 110-1
317,구미신평점,경북 구미시 구미대로 409 지엘리베라움 1층(지번) 신평동 150-61
318,정읍중앙점,전북 정읍시 남북로 28(지번) 연지동 55-3
319,경대병원역SK점,대구 중구 달구벌대로 2194(지번) 대봉동 21-7
320,대구죽전네거리DT점,대구 달서구 달구벌대로 1536(지번) 감삼동 450-1
321,대구칠곡3지구점,대구 북구 팔거천동로 224 1층(지번) 동천동 892-2
322,대구삼성창조캠퍼스점,대구 북구 호암로 51(지번) 침산동 1757
323,군산나운FS점,전북 군산시 대학로 362(지번) 나운동 847-4
324,대구평리DT점,대구 서구 국채보상로 298(지번) 평리동 1099-13
325,구미산동점,경북 구미시 산동읍 신당1로2길 7 1층(지번) 산동읍 신당리 1436
326,대구만촌점,대구 수성구 달구벌대로 2622(지번) 만촌동 849-29
327,대구서재FS점,대구 달성군 다사읍 서재로 66(지번) 다사읍 서재리 175
328,대구대명FS점,대구 남구 대명로 89(지번) 대명동 1623-20
329,상인SK점,"대구 달서구 월배로 200 1,2층(지번) 상인동 251-1"
330,구미이마트점,경북 구미시 구미대로 256 이마트 구미점 1층(지번) 광평동 65-1
331,전남대후문점,광주 북구 우치로 76 1층(지번) 중흥동 279-61
332,대구이시아폴리스점,대구 동구 팔공로49길 51 메가멕스타워 1층(지번) 봉무동 1548-12
333,광주수완DT점,광주 광산구 임방울대로 499(지번) 수완동 669-5
334,대구율하점,대구 동구 안심로22길 10(지번) 율하동 1225
335,광주주월에스오일점,광주 남구 회재로 1190-1(지번) 주월동 496-1
336,대구지산점,대구 수성구 지범로 159(지번) 지산동 1276-7
337,대구시지점,대구 수성구 신매로19길 46(지번) 신매동 567-58
338,광주상무점,광주 서구 치평로 106(지번) 치평동 1185
339,광주수완점,광주 광산구 장신로 142(지번) 수완동 1429
340,광주매곡점,광주 북구 서하로 82(지번) 매곡동 385-10
341,대구테크노폴리스점,대구 달성군 현풍읍 테크노중앙대로 243(지번) 현풍읍 중리 491-2
342,광주첨단2지구점,광주 북구 첨단연신로91번길 10(지번) 신용동 731
343,광주하남점,광주 광산구 풍영철길로 15(지번) 우산동 1587-1
344,경산사동점,경북 경산시 백자로 55(지번) 사동 33
345,광주일곡점,"광주 북구 설죽로 495 1,2층(지번) 일곡동 841-6"
346,광주충장점,"광주 동구 충장로 101-4 1,2층(지번) 충장로1가 8-7"
347,광주월계점,광주 광산구 첨단중앙로 104 에이스빌딩 1층(지번) 월계동 889-1
348,경산하양오일뱅크점,경북 경산시 하양읍 대경로 559(지번) 하양읍 부호리 143-1
349,익산부송점,전북 익산시 무왕로 1195(지번) 부송동 1102
350,광주효천2지구점,광주 남구 효우2로 34(지번) 행암동 588
